,name,location,desc,accomodation,price
0,"Fully Furnished Three Bedroom Apartment For Rent In Surigao City. Mindanao, Philippines.","Surigao City
                                    , Surigao del Norte","Apartment For Rent. ✅Fully Furnished.✅ Modern.✅ Spacious 150 sqm.✅ 3 bedrooms with ownbathrooms in the three bedrooms (ensuite), aircons and hot showers.✅ 40” flat screen smart tv (near new) with cable.✅ Marble kitchen bench top.✅ Island table.✅ Complete with Kitchenware and utensils.✅ Microwave (near new).✅ Balcony.✅ Storage room.✅ Pldt Fiber internet 600mbps with unlimited...","['<i class=""icon icon-bedroom""></i> : 3']","₱ 27,000 / month
New listing"
1,"2-Bedroom Furnished Apartment for Rent in Banawa, Cebu City McDonald","Cebu City
                                    , Cebu","Property Type: Apartment for RentLocation: Banawa, Cebu CityFloor Area: 90 square metersTotal Number of Bedrooms: 2Toilet and Bath: 2Car Parking: 1Turn-over condition: Clean and furnished excluding TV and internet connectionRental Rate: PhP35,000.00 per month 2-Bedroom furnished Apartment for rent with balcony located in Banawa, Cebu City. It is a quiet and gated compound and very accessible to Mc...","['<i class=""icon icon-bedroom""></i> : 2']","₱ 35,000 / month"
2,"Very Affordable Semi Furnished Apartment for rent in Banawa Cebu City, walking distance to main road.","Cebu City
                                    , Cebu","Location: Banawa Cebu CityVery Affordable Semi Furnished Apartment for rent in Banawa Cebu City, near One Pavilion Mall. 2 minutes to One Pavilion Mall 5 minutes to Chong Hua Hospital15 minutes to Ayala mallListing CB039 Listing Features: Floor Area: 18 sqm Double Deck Window Type Aircon Refrigerator With Own Toilet & Bath Very Secured community Rental Rate: Php 12, 000 per monthPAYMENT TERMS: 1 Month...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 12,000 / month
New listing"
3,"Affordable Semi Furnished Apartment for rent in Banawa Cebu City, walking distance to main road.","Cebu City
                                    , Cebu","Location: Banawa Cebu CityAffordable Semi Furnished Apartment for rent in Banawa Cebu City, near One Pavilion Mall. 2 minutes to One Pavilion Mall 5 minutes to Chong Hua Hospital15 minutes to Ayala mall Listing CB038 Listing Features: Floor Area: 20 sqm Queen Size Bed Window Type Aircon Refrigerator & TV With Own Toilet & Bath Very Secured community Rental Rate: Php 12, 000 per monthPAYMENT TERMS:1...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 12,000 / month
New listing"
4,"Most Affordable 2 Bedroom Apartment for rent in Banawa Cebu City, Walking distance from the main road","Cebu City
                                    , Cebu","Location: Banawa Cebu City2 Bedroom Apartment with balcony for rent in Banawa Cebu City walking distance from the main road.2 minutes to One Pavilion Mall5 minutes to Chong Hua Hospital15 minutes to Ayala mallListing Features:Listing CBM02Floor Area: 40 sqm2 Bedroom1 Toilet and BathKitchen/Living areaWith Own Toilet & BathVery Secured communityRental Rate: Php 15, 000 per monthPAYMENT TERMS:1 Month...","['<i class=""icon icon-bedroom""></i> : 2']","₱ 15,000 / month
New listing"
5,3- Bedroom Brand-new Apartment for RENT Near Sm Mall and Clark Freeport Pampanga,"Angeles
                                    , Pampanga","3- Bedroom Brand-new Apartment for RENT Near Sm Mall and Clark Freeport PampangaRent/ Month: Php 76,000Property Details:Floor Area: 220 Sqm +/-Unfurnished with Installed AC3- Bedrooms2- Toilet and Bath1- Car Garage1- Maids Room with Own Toilet and Bath1- Powder Roomwith: Built in Gas Range with Hoodwith: Laundry Area and Space for Dirty Kitchenwith: Private Roof Deckwith: Swimming Pool Exclusive for...","['<i class=""icon icon-bedroom""></i> : 3']","₱ 75,000 / month"
6,3-bedroom semi-furnished house for rent in Banilad @ P28k/month,"Cebu City
                                    , Cebu","For Rent: Three-bedroom semi-furnished Apartment, located inside a quiet village in Banilad, Cebu City. This is very near big schools/universities and malls.Lot area: 120 sq.m.Floor area: 160sq.m. approximateHouse Details:*2-storey Apartment* with air conditioning units in all bedrooms * with dining set and living set* 3 bedrooms* 3 bathrooms with hot and cold shower* 1 maid's room/storage room* 1...","['<i class=""icon icon-bedroom""></i> : 3']","₱ 28,000 / month"
7,2- Bedroom Apartment with Own Gate and Garage for RENT Near Clark,"Angeles
                                    , Pampanga","Rent/ Month: Php 35,000Details:90 sqm more or lessFurnished2 Bedrooms3 Toilet and Bath1- Covered Car GarageWith: Electric Fence InstalledCCTV'sSwimming PoolFor More Details and Site tripping,Please Contact:𝗠𝗮𝘅𝗶𝗻𝗲 𝗡𝗮𝗹𝘂𝘀Property AgentREB License No. 5221Viber, Kakaotalk & WhatsApp : 0933-461-----Contact No: 0933-461-----Office Address: Unit C, Henson Building, Friendship...","['<i class=""icon icon-bedroom""></i> : 2']","₱ 35,000 / month"
8,Interior designed 2 bedroom unit for sale and rent in One Serendra West Tower,"Taguig
                                    , Metro Manila","FOR LEASE & FOR SALE:West Tower, One Serendra, Fort Global City, Taguig, Philippines;Unit Price:Rent:-P185,000/inc Dues, 1 Parking, Plus 12% Vat if OR required, & with 1 yr guaranteed leases min;Sale:-P58M GROSS Negotiable WITH EVERYTHING INSIDE THE UNIT INCLUDING ALL FURNISHINGS, ALL APPLIANCES AND ALL DECORS AND 1 PARKING SLOT. Unit Specs:-2 Bedrooms with 2 baths and separate maids room with seperate...","['<i class=""icon icon-bedroom""></i> : 2']","₱ 185,000 / month"
9,"3-Bedroom Semi-Furnished Apartment in Canduman, Mandaue City near Ateneo de Cebu","Mandaue
                                    , Cebu","Property Type: Apartment for RentLocation: Canduman, Mandaue City, CebuFloor Area: 150-square metersTotal Number of Bedrooms: 4 including the maid’s roomToilet and Bath: 4Car Parking: 1Turn-over condition: Clean and semi-furnishedRental Rate: PhP35,000.00 per month if residential and family useRental Rate: PhP45,000.00 per month if business purposes or staff house 4-Bedroom and semi-furnished Apartment...","['<i class=""icon icon-bedroom""></i> : 4']","₱ 35,000 / month"
10,2-bedroom Apartment for rent in San Antonio Village-near I.T. Park  @ P20k/month,"Cebu City
                                    , Cebu","FOR RENT: Two-bedroom Apartment, located in San Antonio Village, Apas, Cebu City. This is very near I.T. Park and Banilad area. HOUSE DETAILS:* Apartment style* semi-furnished* 2bedrooms* 1 bathroom*kitchen and dining area*living area* 1 car garageNote: Each room has a bed, a closet and an air conditioning unit. RENTAL DETAILS:Monthly rental: Php20,0002 months security deposit1 month advance payment1...","['<i class=""icon icon-bedroom""></i> : 2']","₱ 20,000 / month"
11,Affordable Pad for Rent Near CSU in Lumina Homes Butuan,"Butuan
                                    , Agusan del Norte","Ready For Occupancy RowHouse Apartment For Rent Lumina Homes ButuanAimee Rowhouse Apartment Inner UnitNo bedroom, no tiles, with own Toilet and Bath, washing area at the backWith abundant water supply and ANECO connectionAccessible to major transportationNear CSU, Philippine Science High School, CHED, NBI, LTO, govt offices, market, church, located just beside Pepsi Warehouse and BCSAT Taguibo Butuan...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 3,900 / month"
12,Almanza Uno Apartment Room For Rent in Las Piñas near SM Southmall,"Las Piñas
                                    , Metro Manila","Gated compoundCctvWell ventilated 12 sqm room with over head cabinet, own sink & bath roomFor 1-2 persons onlyP5000 - Single occupancyP5500 - Double occupancy2 months deposit. 1 month advanceRent inclusive of water for 1 occupant. 2nd occupant additional 250No Parking. Non smoking. No kids. No Pets.No cooking- only heating is allowed• A few meters away from Alabang Zapote. Gated private compound•...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 5,000 / month
New listing"
13,1BR Apartment for Rent in San Andres Bukid Manila,"Manila
                                    , Metro Manila","1BR Apartment for Rent in San Andres Bukid Manila23k/ monthFloor Area:307 sqm.Lot Area: 307 sqm. 1 Bedroom1 BathroomUnfurnishedParking Garage1 month Advance2 months Deposit1 year contract & renewal basis after a yearInclusions:Shower, Lavatory SinkOwn Kitchen, Laundry Area, Kitchen Cabinet1 Bedroom w/ Abang (for window type aircon)Cabinet for BedroomLiving RoomDescription:ready for occupancygood for...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 23,000 / month"
14,"1BR Apartment for Rent  Infina Towers, Quezon City, Metro Manila","Quezon City
                                    , Metro Manila","1BR Apartment for Rent Infina Towers, Quezon City, Metro Manila37th floor27.50 sqm floor area1 Bedroom 1 BathroomPet friendlyFully furnishedFacing: AntipoloPayment Terms:25k/monthly rent inclusive of dues 2 months secruity deposit1 month advance rent 1 year minimum rentalRemarks:Very strategic location for University and hospital access, along Aurora Boulevard. Walking distance to LRT and upcoming...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 25,000 / month"
15,Apartment Room For Rent at Almanza Uno Las Piñas near SM Southmall,"Las Piñas
                                    , Metro Manila","Gated compoundCctvWell ventilated 12 sqm room with over head cabinet, own sink & bath roomFor 1-2 persons onlyP5000 - Single occupancyP5500 - Double occupancy2 months deposit. 1 month advanceRent inclusive of water for 1 occupant. 2nd occupant additional 250No Parking. Non smoking. No kids. No Pets.No cooking- only heating is allowed• A few meters away from Alabang Zapote. Gated private compound•...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 5,000 / month"
