,name,location,desc,accomodation,price
0,"Fully Furnished Three Bedroom Apartment For Rent In Surigao City. Mindanao, Philippines.","Surigao City
                                    , Surigao del Norte","Apartment For Rent. ✅Fully Furnished.✅ Modern.✅ Spacious 150 sqm.✅ 3 bedrooms with ownbathrooms in the three bedrooms (ensuite), aircons and hot showers.✅ 40” flat screen smart tv (near new) with cable.✅ Marble kitchen bench top.✅ Island table.✅ Complete with Kitchenware and utensils.✅ Microwave (near new).✅ Balcony.✅ Storage room.✅ Pldt Fiber internet 600mbps with unlimited...","['<i class=""icon icon-bedroom""></i> : 3']","₱ 27,000 / month"
1,"3-Bedroom Apartment in Capitol Site, Cebu City","Cebu City
                                    , Cebu","Property Type: Apartment for RentLocation: Capitol, Cebu CityFloor Area: 100 square metersTotal Number of Bedrooms: 3Toilet and Bath: 2Car Parking: 1Turn-over condition: Clean and unfurnishedRental Rate: PhP25,000.00 per month3-Bedroom Apartment for rent in Capitol, Cebu City. It is very accessible to malls, banks, and other commercial businesses. It is also a few meters away from the main road where...","['<i class=""icon icon-bedroom""></i> : 3']","₱ 25,000 / month"
2,"2-Bedroom Furnished Apartment for Rent in Banawa, Cebu City McDonald","Cebu City
                                    , Cebu","Property Type: Apartment for RentLocation: Banawa, Cebu CityFloor Area: 90 square metersTotal Number of Bedrooms: 2Toilet and Bath: 2Car Parking: 1Turn-over condition: Clean and furnished excluding TV and internet connectionRental Rate: PhP35,000.00 per month 2-Bedroom furnished Apartment for rent with balcony located in Banawa, Cebu City. It is a quiet and gated compound and very accessible to Mc...","['<i class=""icon icon-bedroom""></i> : 2']","₱ 35,000 / month"
3,Trump Tower Manila  1 Bedroom for Sale,"Makati
                                    , Metro Manila","For sale and for RENTTrump Tower Manila at Century City, Makati City25th with Parking and storage Floor area 56 sqm cornerRental Rate P65,000.00/month2 Months Security Deposit6 Months Advance Rent-------------------------SELLING PRICEPrice 20,000,000 Cash which is below ZONAL VALUE of P350K/ sqmw/ 1 parking spaceBIR Tax Computation is based on ZONAL VALUE of 350K per sqm.SELLER to pay the 6% Capital...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 65,000 / month"
4,"Affordable Semi Furnished Apartment for rent in Banawa Cebu City, walking distance to main road.","Cebu City
                                    , Cebu","Location: Banawa Cebu CityAffordable Semi Furnished Apartment for rent in Banawa Cebu City, near One Pavilion Mall. 2 minutes to One Pavilion Mall 5 minutes to Chong Hua Hospital15 minutes to Ayala mall Listing CB038 Listing Features: Floor Area: 20 sqm Queen Size Bed Window Type Aircon Refrigerator & TV With Own Toilet & Bath Very Secured community Rental Rate: Php 12, 000 per monthPAYMENT TERMS:...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 12,000 / month
New listing"
5,"Very Affordable Semi Furnished Apartment for rent in Banawa Cebu City, walking distance to main road.","Cebu City
                                    , Cebu","Location: Banawa Cebu CityVery Affordable Semi Furnished Apartment for rent in Banawa Cebu City, near One Pavilion Mall. 2 minutes to One Pavilion Mall 5 minutes to Chong Hua Hospital15 minutes to Ayala mallListing CB039 Listing Features: Floor Area: 18 sqm Double Deck Window Type Aircon Refrigerator With Own Toilet & Bath Very Secured community Rental Rate: Php 12, 000 per monthPAYMENT TERMS: 1 Month...","['<i class=""icon icon-bedroom""></i> : 1']","₱ 12,000 / month
New listing"
6,3BR Furnished Apartment / House / Airbnb for Rent Iloilo City,"Iloilo City
                                    , Iloilo","3-Bedroom fully furnished Apartment for rent in Iloilo CityAvailable for nightly stays, weekly stays and monthly stays. 3 Bedrooms with AC2 BathroomsBedroom 1 with balcony, queen-sized bed, closet, ensuite bathroom with shower heater and space for extra mattressesBedroom 2 with 1 single bed, closet and space for extra mattressBedroom 3 with 1 single bed and closetYou have to use the stairs to access...","['<i class=""icon icon-bedroom""></i> : 3']","₱ 25,000 / month"
7,3- Bedroom Brand-new Apartment for RENT Near Sm Mall and Clark Freeport Pampanga,"Angeles
                                    , Pampanga","3- Bedroom Brand-new Apartment for RENT Near Sm Mall and Clark Freeport PampangaRent/ Month: Php 76,000Property Details:Floor Area: 220 Sqm +/-Unfurnished with Installed AC3- Bedrooms2- Toilet and Bath1- Car Garage1- Maids Room with Own Toilet and Bath1- Powder Roomwith: Built in Gas Range with Hoodwith: Laundry Area and Space for Dirty Kitchenwith: Private Roof Deckwith: Swimming Pool Exclusive for...","['<i class=""icon icon-bedroom""></i> : 3']","₱ 75,000 / month"
8,PRICE IMPROVED - Brand New Commercial / Residential Building,"Imus
                                    , Cavite","Lot Area: 242 sqmBuilding Details: *Ground Floor Area: 194 sqm*Second Floor Area: 362 sqm**GF Unit(s): 3 residential + 3 commercial**2nd Floor Unit(s): 9 residential Features:• Brand new• Tiled Flooring• Each unit includes built-in cabinets• Each (residential) unit has space for Laundry/Service Area• With Doorbell, Smoke Detector & Fire Alarm (per unit)• Cable and Internet ready• CCTVs...","['<i class=""icon icon-bedroom""></i> : 12']","₱ 12,000 / month"
9,Interior designed 2 bedroom unit for sale and rent in One Serendra West Tower,"Taguig
                                    , Metro Manila","FOR LEASE & FOR SALE:West Tower, One Serendra, Fort Global City, Taguig, Philippines;Unit Price:Rent:-P185,000/inc Dues, 1 Parking, Plus 12% Vat if OR required, & with 1 yr guaranteed leases min;Sale:-P58M GROSS Negotiable WITH EVERYTHING INSIDE THE UNIT INCLUDING ALL FURNISHINGS, ALL APPLIANCES AND ALL DECORS AND 1 PARKING SLOT. Unit Specs:-2 Bedrooms with 2 baths and separate maids room with seperate...","['<i class=""icon icon-bedroom""></i> : 2']","₱ 185,000 / month"
10,3-bedroom semi-furnished house for rent in Banilad @ P28k/month,"Cebu City
                                    , Cebu","For Rent: Three-bedroom semi-furnished Apartment, located inside a quiet village in Banilad, Cebu City. This is very near big schools/universities and malls.Lot area: 120 sq.m.Floor area: 160sq.m. approximateHouse Details:*2-storey Apartment* with air conditioning units in all bedrooms * with dining set and living set* 3 bedrooms* 3 bathrooms with hot and cold shower* 1 maid's room/storage room* 1...","['<i class=""icon icon-bedroom""></i> : 3']","₱ 28,000 / month"
11,2- Bedroom Apartment with Own Gate and Garage for RENT Near Clark,"Angeles
                                    , Pampanga","Rent/ Month: Php 35,000Details:90 sqm more or lessFurnished2 Bedrooms3 Toilet and Bath1- Covered Car GarageWith: Electric Fence InstalledCCTV'sSwimming PoolFor More Details and Site tripping,Please Contact:𝗠𝗮𝘅𝗶𝗻𝗲 𝗡𝗮𝗹𝘂𝘀Property AgentREB License No. 5221Viber, Kakaotalk & WhatsApp : 0933-461-----Contact No: 0933-461-----Office Address: Unit C, Henson Building, Friendship...","['<i class=""icon icon-bedroom""></i> : 2']","₱ 35,000 / month"
